monthDay,selectedDate,selectedAF,selectedStatus,comparisonDate,comparisonAF,comparisonStatus,baselineMeanAF,baselineCount
10-01,2024-10-01,1868051,reported,2020-10-01,1626340,reported,,0
10-02,2024-10-02,1864584,reported,2020-10-02,1620324,reported,,0
10-03,2024-10-03,1860207,reported,2020-10-03,1618687,reported,,0
10-04,2024-10-04,1859598,reported,2020-10-04,1618141,reported,,0
10-05,2024-10-05,1849044,reported,2020-10-05,1613599,reported,,0
10-06,2024-10-06,1839340,reported,2020-10-06,1608340,reported,,0
10-07,2024-10-07,1834403,reported,2020-10-07,1605535,reported,,0
10-08,2024-10-08,1822351,reported,2020-10-08,1602011,reported,,0
10-09,2024-10-09,1817950,reported,2020-10-09,1598853,reported,,0
10-10,2024-10-10,1806971,reported,2020-10-10,1599665,reported,,0
10-11,2024-10-11,1803086,reported,2020-10-11,1599845,reported,,0
10-12,2024-10-12,1793850,reported,2020-10-12,1597140,reported,,0
10-13,2024-10-13,1791469,reported,2020-10-13,1593089,reported,,0
10-14,2024-10-14,1789887,reported,2020-10-14,1587340,reported,,0
10-15,2024-10-15,1785139,reported,2020-10-15,1578207,reported,,0
10-16,2024-10-16,1781974,reported,2020-10-16,1571159,reported,,0
10-17,2024-10-17,1778131,reported,2020-10-17,1567599,reported,,0
10-18,2024-10-18,1774388,reported,2020-10-18,1563778,reported,,0
10-19,2024-10-19,1769767,reported,2020-10-19,1560496,reported,,0
10-20,2024-10-20,1764665,reported,2020-10-20,1555891,reported,,0
10-21,2024-10-21,1760942,reported,2020-10-21,1551119,reported,,0
10-22,2024-10-22,1755959,reported,2020-10-22,1545036,reported,,0
10-23,2024-10-23,1751565,reported,2020-10-23,1538531,reported,,0
10-24,2024-10-24,1745042,reported,2020-10-24,1534847,reported,,0
10-25,2024-10-25,1741542,reported,2020-10-25,1530470,reported,,0
10-26,2024-10-26,1735430,reported,2020-10-26,1521830,reported,,0
10-27,2024-10-27,1728751,reported,2020-10-27,1514685,reported,,0
10-28,2024-10-28,1728558,reported,2020-10-28,1510520,reported,,0
10-29,2024-10-29,1730974,reported,2020-10-29,1507056,reported,,0
10-30,2024-10-30,1732521,reported,2020-10-30,1504375,reported,,0
10-31,2024-10-31,1729331,reported,2020-10-31,1502734,reported,,0
11-01,2024-11-01,1724014,reported,2020-11-01,1500834,reported,,0
11-02,2024-11-02,1714191,reported,2020-11-02,1493512,reported,,0
11-03,2024-11-03,1703931,reported,2020-11-03,1484844,reported,,0
11-04,2024-11-04,1700207,reported,2020-11-04,1476381,reported,,0
11-05,2024-11-05,1697247,reported,2020-11-05,1468122,reported,,0
11-06,2024-11-06,1692005,reported,2020-11-06,1458541,reported,,0
11-07,2024-11-07,1685157,reported,2020-11-07,1450519,reported,,0
11-08,2024-11-08,1681840,reported,2020-11-08,1442109,reported,,0
11-09,2024-11-09,1676818,reported,2020-11-09,1432396,reported,,0
11-10,2024-11-10,1676818,reported,2020-11-10,1421979,reported,,0
11-11,2024-11-11,1676818,reported,2020-11-11,1414097,reported,,0
11-12,2024-11-12,1663051,reported,2020-11-12,1406328,reported,,0
11-13,2024-11-13,1660607,reported,2020-11-13,1399411,reported,,0
11-14,2024-11-14,1654039,reported,2020-11-14,1392926,reported,,0
11-15,2024-11-15,1652916,reported,2020-11-15,1385972,reported,,0
11-16,2024-11-16,1649639,reported,2020-11-16,1378880,reported,,0
11-17,2024-11-17,1645714,reported,2020-11-17,1373434,reported,,0
11-18,2024-11-18,1643942,reported,2020-11-18,1371325,reported,,0
11-19,2024-11-19,1642077,reported,2020-11-19,1367518,reported,,0
11-20,2024-11-20,1647113,reported,2020-11-20,1362668,reported,,0
11-21,2024-11-21,1676439,reported,2020-11-21,1357508,reported,,0
11-22,2024-11-22,1753125,reported,2020-11-22,1353165,reported,,0
11-23,2024-11-23,1817950,reported,2020-11-23,1347469,reported,,0
11-24,2024-11-24,1843074,reported,2020-11-24,1341550,reported,,0
11-25,2024-11-25,1859801,reported,2020-11-25,1335966,reported,,0
11-26,2024-11-26,1873766,reported,2020-11-26,1330319,reported,,0
11-27,2024-11-27,1883595,reported,2020-11-27,1324214,reported,,0
11-28,2024-11-28,1892018,reported,2020-11-28,1319786,reported,,0
11-29,2024-11-29,1897276,reported,2020-11-29,1315446,reported,,0
11-30,2024-11-30,1901608,reported,2020-11-30,1309622,reported,,0
12-01,2024-12-01,1906469,reported,2020-12-01,1304130,reported,,0
12-02,2024-12-02,1916731,reported,2020-12-02,1298965,reported,,0
12-03,2024-12-03,1920264,reported,2020-12-03,1293893,reported,,0
12-04,2024-12-04,1923693,reported,2020-12-04,1291011,reported,,0
12-05,2024-12-05,1922654,reported,2020-12-05,1287668,reported,,0
12-06,2024-12-06,1924944,reported,2020-12-06,1284020,reported,,0
12-07,2024-12-07,1928490,reported,2020-12-07,1279915,reported,,0
12-08,2024-12-08,1930158,reported,2020-12-08,1275896,reported,,0
12-09,2024-12-09,1930784,reported,2020-12-09,1271963,reported,,0
12-10,2024-12-10,1932452,reported,2020-12-10,1268422,reported,,0
12-11,2024-12-11,1932244,reported,2020-12-11,1265272,reported,,0
12-12,2024-12-12,1938202,reported,2020-12-12,1264504,reported,,0
12-13,2024-12-13,1944063,reported,2020-12-13,1262663,reported,,0
12-14,2024-12-14,1959941,reported,2020-12-14,1260518,reported,,0
12-15,2024-12-15,1972517,reported,2020-12-15,1258528,reported,,0
12-16,2024-12-16,1982599,reported,2020-12-16,1256386,reported,,0
12-17,2024-12-17,1990795,reported,2020-12-17,1257151,reported,,0
12-18,2024-12-18,1998156,reported,2020-12-18,1255776,reported,,0
12-19,2024-12-19,2003721,reported,2020-12-19,1254266,reported,,0
12-20,2024-12-20,2008215,reported,2020-12-20,1251976,reported,,0
12-21,2024-12-21,2014981,reported,2020-12-21,1249080,reported,,0
12-22,2024-12-22,2022511,reported,2020-12-22,1245505,reported,,0
12-23,2024-12-23,2032006,reported,2020-12-23,1243076,reported,,0
12-24,2024-12-24,2057314,reported,2020-12-24,1240725,reported,,0
12-25,2024-12-25,2079868,reported,2020-12-25,1239362,reported,,0
12-26,2024-12-26,2099708,reported,2020-12-26,1239968,reported,,0
12-27,2024-12-27,2146412,reported,2020-12-27,1240498,reported,,0
12-28,2024-12-28,2186088,reported,2020-12-28,1239892,reported,,0
12-29,2024-12-29,2242786,reported,2020-12-29,1239135,reported,,0
12-30,2024-12-30,2287219,reported,2020-12-30,1237848,reported,,0
12-31,2024-12-31,2314813,reported,2020-12-31,1236790,reported,,0
01-01,2025-01-01,2336903,reported,2021-01-01,1235504,reported,,0
01-02,2025-01-02,2354833,reported,2021-01-02,1234372,reported,,0
01-03,2025-01-03,2375740,reported,2021-01-03,1233315,reported,,0
01-04,2025-01-04,2396157,reported,2021-01-04,1234070,reported,,0
01-05,2025-01-05,2411582,reported,2021-01-05,1236487,reported,,0
01-06,2025-01-06,2425728,reported,2021-01-06,1236790,reported,,0
01-07,2025-01-07,2439072,reported,2021-01-07,1236185,reported,,0
01-08,2025-01-08,2450622,reported,2021-01-08,1235278,reported,,0
