monthDay,selectedDate,selectedAF,selectedStatus,comparisonDate,comparisonAF,comparisonStatus,baselineMeanAF,baselineCount
10-01,2024-10-01,2760766,reported,2020-10-01,2197814,reported,2505555.214285714,28
10-02,2024-10-02,2758203,reported,2020-10-02,2193423,reported,2506832.2666666666,30
10-03,2024-10-03,2750299,reported,2020-10-03,2189948,reported,2502530.033333333,30
10-04,2024-10-04,2743677,reported,2020-10-04,2185216,reported,2498499.2,30
10-05,2024-10-05,2736870,reported,2020-10-05,2179031,reported,2494230.6,30
10-06,2024-10-06,2731983,reported,2020-10-06,2172665,reported,2490863.433333333,30
10-07,2024-10-07,2727096,reported,2020-10-07,2166147,reported,2487709.8333333335,30
10-08,2024-10-08,2722633,reported,2020-10-08,2161084,reported,2484627.3666666667,30
10-09,2024-10-09,2717342,reported,2020-10-09,2155297,reported,2481583.7333333334,30
10-10,2024-10-10,2711636,reported,2020-10-10,2150610,reported,2479025.8666666667,30
10-11,2024-10-11,2706987,reported,2020-10-11,2146296,reported,2498353.275862069,29
10-12,2024-10-12,2701704,reported,2020-10-12,2141082,reported,2473072.466666667,30
10-13,2024-10-13,2697070,reported,2020-10-13,2136049,reported,2470352.8,30
10-14,2024-10-14,2691185,reported,2020-10-14,2132469,reported,2468409.933333333,30
10-15,2024-10-15,2685720,reported,2020-10-15,2129074,reported,2466097.966666667,30
10-16,2024-10-16,2682988,reported,2020-10-16,2126035,reported,2463519.033333333,30
10-17,2024-10-17,2678158,reported,2020-10-17,2124963,reported,2461307.8,30
10-18,2024-10-18,2671886,reported,2020-10-18,2126035,reported,2458679.7333333334,30
10-19,2024-10-19,2665615,reported,2020-10-19,2124069,reported,2456805.7666666666,30
10-20,2024-10-20,2656842,reported,2020-10-20,2127108,reported,2454434.7666666666,30
10-21,2024-10-21,2652892,reported,2020-10-21,2125678,reported,2451606.7,30
10-22,2024-10-22,2647694,reported,2020-10-22,2117457,reported,2448736.6333333333,30
10-23,2024-10-23,2640625,reported,2020-10-23,2112125,reported,2446681.1666666665,30
10-24,2024-10-24,2633991,reported,2020-10-24,2106440,reported,2445223.6666666665,30
10-25,2024-10-25,2628615,reported,2020-10-25,2101109,reported,2443469.3333333335,30
10-26,2024-10-26,2622618,reported,2020-10-26,2098980,reported,2441427.033333333,30
10-27,2024-10-27,2616211,reported,2020-10-27,2095094,reported,2439286.1666666665,30
10-28,2024-10-28,2610453,reported,2020-10-28,2090501,reported,2438172.566666667,30
10-29,2024-10-29,2605518,reported,2020-10-29,2087851,reported,2419455.6551724137,29
10-30,2024-10-30,2601200,reported,2020-10-30,2085025,reported,2437404.8666666667,30
10-31,2024-10-31,2595650,reported,2020-10-31,2081845,reported,2436559,30
11-01,2024-11-01,2591151,reported,2020-11-01,2078157,reported,2435523.2,30
11-02,2024-11-02,2583583,reported,2020-11-02,2074470,reported,2434561.1666666665,30
