monthDay,selectedDate,selectedAF,selectedStatus,comparisonDate,comparisonAF,comparisonStatus,baselineMeanAF,baselineCount
10-01,1992-10-01,776748,reported,2024-10-01,1520440,reported,1365055.12,25
10-02,1992-10-02,,missing,2024-10-02,1516291,reported,1390874.8461538462,26
10-03,1992-10-03,,missing,2024-10-03,1511117,reported,1399636.7777777778,27
10-04,1992-10-04,776748,reported,2024-10-04,1508020,reported,1391564.5555555555,27
10-05,1992-10-05,775471,reported,2024-10-05,1504926,reported,1389452.0740740742,27
10-06,1992-10-06,774833,reported,2024-10-06,1501838,reported,1349695.1153846155,26
10-07,1992-10-07,773558,reported,2024-10-07,1498755,reported,1363399.423076923,26
10-08,1992-10-08,,missing,2024-10-08,1493627,reported,1361099.043478261,23
10-09,1992-10-09,,missing,2024-10-09,1491579,reported,1358632.72,25
10-10,1992-10-10,,missing,2024-10-10,1489534,reported,1364800.851851852,27
10-11,1992-10-11,,missing,2024-10-11,1485450,reported,1384194.72,25
10-12,1992-10-12,761515,reported,2024-10-12,1482392,reported,1369803.7307692308,26
10-13,1992-10-13,758367,reported,2024-10-13,1479340,reported,1362892.1538461538,26
10-14,1992-10-14,754601,reported,2024-10-14,1476292,reported,1339547.5,26
10-15,1992-10-15,751472,reported,2024-10-15,1473249,reported,1334436.6296296297,27
10-16,1992-10-16,,missing,2024-10-16,1470210,reported,1343228.3846153845,26
10-17,1992-10-17,,missing,2024-10-17,1468188,reported,1347484.28,25
10-18,1992-10-18,750223,reported,2024-10-18,1464148,reported,1332034.0384615385,26
10-19,1992-10-19,,missing,2024-10-19,1460118,reported,1413172.8695652173,23
10-20,1992-10-20,,missing,2024-10-20,1456074,reported,1374132.2083333333,24
10-21,1992-10-21,750223,reported,2024-10-21,1452060,reported,1345364.8076923077,26
10-22,1992-10-22,749599,reported,2024-10-22,1449055,reported,1344086.3076923077,26
10-23,1992-10-23,,missing,2024-10-23,1445056,reported,1350389.88,25
10-24,1992-10-24,,missing,2024-10-24,1441066,reported,1329750.88,25
10-25,1992-10-25,747729,reported,2024-10-25,1433110,reported,1360624.9615384615,26
10-26,1992-10-26,747106,reported,2024-10-26,1427165,reported,1342162.7307692308,26
10-27,1992-10-27,747729,reported,2024-10-27,1423212,reported,1326869.2592592593,27
10-28,1992-10-28,747106,reported,2024-10-28,1421239,reported,1305437.576923077,26
10-29,1992-10-29,747729,reported,2024-10-29,1420253,reported,1308756.5,24
10-30,1992-10-30,,missing,2024-10-30,1419267,reported,1305701.347826087,23
10-31,1992-10-31,,missing,2024-10-31,1418283,reported,1312711.16,25
11-01,1992-11-01,748975,reported,2024-11-01,1416315,reported,1327986.6296296297,27
11-02,1992-11-02,749599,reported,2024-11-02,1414349,reported,1328627.76,25
11-03,1992-11-03,749599,reported,2024-11-03,1412385,reported,1310408.7692307692,26
11-04,1992-11-04,750223,reported,2024-11-04,1410423,reported,1300792.7407407407,27
11-05,1992-11-05,750599,reported,2024-11-05,1409443,reported,1266622.3043478262,23
11-06,1992-11-06,,missing,2024-11-06,1409443,reported,1320082.6153846155,26
11-07,1992-11-07,,missing,2024-11-07,1408463,reported,1296198.4583333333,24
11-08,1992-11-08,749599,reported,2024-11-08,1408463,reported,1301705.96,25
11-09,1992-11-09,749599,reported,2024-11-09,1407484,reported,1316118.1666666667,24
11-10,1992-11-10,,missing,2024-11-10,1407484,reported,1338241.652173913,23
11-11,1992-11-11,750223,reported,2024-11-11,1406506,reported,1324529.4615384615,26
11-12,1992-11-12,,missing,2024-11-12,1406506,reported,1322619.28,25
11-13,1992-11-13,,missing,2024-11-13,1405527,reported,1333107.111111111,27
11-14,1992-11-14,,missing,2024-11-14,1404550,reported,1331601.2592592593,27
11-15,1992-11-15,752097,reported,2024-11-15,1404550,reported,1348916.962962963,27
11-16,1992-11-16,752097,reported,2024-11-16,1404550,reported,1349242,27
11-17,1992-11-17,,missing,2024-11-17,1403573,reported,1347290.076923077,26
11-18,1992-11-18,754601,reported,2024-11-18,1403573,reported,1325376.9259259258,27
11-19,1992-11-19,755228,reported,2024-11-19,1402596,reported,1315660.3333333333,27
11-20,1992-11-20,,missing,2024-11-20,1402596,reported,1335484.5185185184,27
11-21,1992-11-21,,missing,2024-11-21,1401620,reported,1358057.2222222222,27
11-22,1992-11-22,756483,reported,2024-11-22,1401620,reported,1328937.72,25
11-23,1992-11-23,756483,reported,2024-11-23,1402596,reported,1329374.56,25
11-24,1992-11-24,,missing,2024-11-24,1402596,reported,1327515.8260869565,23
11-25,1992-11-25,,missing,2024-11-25,1402596,reported,1328618.56,25
11-26,1992-11-26,,missing,2024-11-26,1404550,reported,1326653.2,25
11-27,1992-11-27,,missing,2024-11-27,1404452,reported,1353020.8846153845,26
11-28,1992-11-28,,missing,2024-11-28,1404550,reported,1337107.3703703703,27
11-29,1992-11-29,758367,reported,2024-11-29,1404550,reported,1341691.9642857143,28
11-30,1992-11-30,758367,reported,2024-11-30,1403573,reported,1354479.7037037036,27
12-01,1992-12-01,759626,reported,2024-12-01,1403573,reported,1331898.2592592593,27
12-02,1992-12-02,760255,reported,2024-12-02,1403573,reported,1325843.9259259258,27
12-03,1992-12-03,760885,reported,2024-12-03,1402596,reported,1326060.888888889,27
12-04,1992-12-04,,missing,2024-12-04,1402596,reported,1356002.892857143,28
12-05,1992-12-05,,missing,2024-12-05,1401620,reported,1365188.6896551724,29
12-06,1992-12-06,763409,reported,2024-12-06,1401620,reported,1349688.6,25
12-07,1992-12-07,764672,reported,2024-12-07,1401620,reported,1371771.142857143,28
12-08,1992-12-08,765937,reported,2024-12-08,1400645,reported,1349350.607142857,28
12-09,1992-12-09,771648,reported,2024-12-09,1400645,reported,1330352.0740740742,27
12-10,1992-12-10,774833,reported,2024-12-10,1400645,reported,1340019.5714285714,28
12-11,1992-12-11,,missing,2024-12-11,1399670,reported,1361878.107142857,28
12-12,1992-12-12,,missing,2024-12-12,1399670,reported,1377736.6785714286,28
12-13,1992-12-13,783154,reported,2024-12-13,1399670,reported,1365684.103448276,29
12-14,1992-12-14,785083,reported,2024-12-14,1399670,reported,1379165,28
12-15,1992-12-15,786371,reported,2024-12-15,1399670,reported,1356349.9259259258,27
12-16,1992-12-16,788305,reported,2024-12-16,1399670,reported,1335078.4444444445,27
12-17,1992-12-17,790242,reported,2024-12-17,1398696,reported,1340792.88,25
12-18,1992-12-18,,missing,2024-12-18,1398696,reported,1374371.923076923,26
12-19,1992-12-19,,missing,2024-12-19,1398696,reported,1371679.7857142857,28
12-20,1992-12-20,794775,reported,2024-12-20,1398696,reported,1366403.0714285714,28
12-21,1992-12-21,796722,reported,2024-12-21,1397722,reported,1370630.923076923,26
12-22,1992-12-22,798023,reported,2024-12-22,1397722,reported,1347755.64,25
12-23,1992-12-23,,missing,2024-12-23,1397722,reported,1389422.608695652,23
12-24,1992-12-24,,missing,2024-12-24,1397722,reported,1390657.2608695652,23
12-25,1992-12-25,,missing,2024-12-25,1397722,reported,1370250.8461538462,26
12-26,1992-12-26,,missing,2024-12-26,1398696,reported,1389027.2068965517,29
12-27,1992-12-27,804461,reported,2024-12-27,1398599,reported,1365955.9259259258,27
12-28,1992-12-28,806425,reported,2024-12-28,1398988,reported,1380099.8461538462,26
12-29,1992-12-29,811021,reported,2024-12-29,1400645,reported,1370996.111111111,27
12-30,1992-12-30,,missing,2024-12-30,1400645,reported,1371596.4,25
12-31,1992-12-31,,missing,2024-12-31,1397917,reported,1408226.608695652,23
01-01,1993-01-01,,missing,2025-01-01,1396748,reported,1396692.7777777778,27
01-02,1993-01-02,,missing,2025-01-02,1396748,reported,1402924.2857142857,28
01-03,1993-01-03,826912,reported,2025-01-03,1397722,reported,1404385.888888889,27
01-04,1993-01-04,,missing,2025-01-04,1397722,reported,1433918.1538461538,26
01-05,1993-01-05,,missing,2025-01-05,1397722,reported,1417337.4074074074,27
01-06,1993-01-06,,missing,2025-01-06,1398696,reported,1402202.4814814816,27
01-07,1993-01-07,,missing,2025-01-07,1398696,reported,1404122.962962963,27
01-08,1993-01-08,,missing,2025-01-08,1398696,reported,1407983.9285714286,28
01-09,1993-01-09,,missing,2025-01-09,1398696,reported,1417188.7241379311,29
01-10,1993-01-10,875175,reported,2025-01-10,1398696,reported,1411267.0357142857,28
01-11,1993-01-11,880733,reported,2025-01-11,1398696,reported,1426530.4444444445,27
01-12,1993-01-12,884918,reported,2025-01-12,1399670,reported,1404832.7407407407,27
01-13,1993-01-13,902510,reported,2025-01-13,1399670,reported,1392899.392857143,28
01-14,1993-01-14,929728,reported,2025-01-14,1399670,reported,1388288.2222222222,27
01-15,1993-01-15,,missing,2025-01-15,1398696,reported,1422077.357142857,28
01-16,1993-01-16,,missing,2025-01-16,1398696,reported,1445760.4642857143,28
01-17,1993-01-17,,missing,2025-01-17,1398014,reported,1446442.75,28
01-18,1993-01-18,974711,reported,2025-01-18,1398696,reported,1445261.857142857,28
01-19,1993-01-19,,missing,2025-01-19,1397722,reported,1457077.5384615385,26
01-20,1993-01-20,987498,reported,2025-01-20,1397722,reported,1418983.3703703703,27
01-21,1993-01-21,999642,reported,2025-01-21,1397722,reported,1409481.4642857143,28
01-22,1993-01-22,,missing,2025-01-22,1397722,reported,1452024.4642857143,28
01-23,1993-01-23,,missing,2025-01-23,1397722,reported,1454819.5357142857,28
01-24,1993-01-24,1034365,reported,2025-01-24,1396748,reported,1449940.2857142857,28
01-25,1993-01-25,1039842,reported,2025-01-25,1396748,reported,1462707.4642857143,28
01-26,1993-01-26,1044553,reported,2025-01-26,1396748,reported,1441737.107142857,28
01-27,1993-01-27,,missing,2025-01-27,1395776,reported,1434442.2962962964,27
01-28,1993-01-28,1053229,reported,2025-01-28,1395776,reported,1425975.7142857143,28
01-29,1993-01-29,,missing,2025-01-29,1394803,reported,1441019.8148148148,27
01-30,1993-01-30,,missing,2025-01-30,1395776,reported,1459378.7777777778,27
01-31,1993-01-31,1063548,reported,2025-01-31,1398696,reported,1440023.888888889,27
02-01,1993-02-01,1066737,reported,2025-02-01,1401620,reported,1472806,28
02-02,1993-02-02,1069134,reported,2025-02-02,1405527,reported,1451009.7142857143,28
02-03,1993-02-03,1072335,reported,2025-02-03,1408463,reported,1429630.0714285714,28
02-04,1993-02-04,1075543,reported,2025-02-04,1409443,reported,1431320.142857143,28
02-05,1993-02-05,,missing,2025-02-05,1413366,reported,1455834.9285714286,28
02-06,1993-02-06,,missing,2025-02-06,1417298,reported,1460863.1379310344,29
02-07,1993-02-07,1086824,reported,2025-02-07,1426176,reported,1460333.25,28
02-08,1993-02-08,1093307,reported,2025-02-08,1431126,reported,1481395.851851852,27
02-09,1993-02-09,,missing,2025-02-09,1435096,reported,1487570.107142857,28
02-10,1993-02-10,1115362,reported,2025-02-10,1438078,reported,1472030.8214285714,28
02-11,1993-02-11,1121140,reported,2025-02-11,1440069,reported,1469286.0740740742,27
02-12,1993-02-12,,missing,2025-02-12,1443060,reported,1472799.892857143,28
02-13,1993-02-13,,missing,2025-02-13,1462132,reported,1494951.1785714286,28
02-14,1993-02-14,,missing,2025-02-14,1484430,reported,1515236.888888889,27
02-15,1993-02-15,1141951,reported,2025-02-15,1491579,reported,1503024.5357142857,28
02-16,1993-02-16,1146147,reported,2025-02-16,1495676,reported,1503718.7142857143,28
02-17,1993-02-17,1150353,reported,2025-02-17,1497728,reported,1483422.3214285714,28
02-18,1993-02-18,1155415,reported,2025-02-18,1500810,reported,1481003.962962963,27
02-19,1993-02-19,,missing,2025-02-19,1501838,reported,1485364.32,25
02-20,1993-02-20,,missing,2025-02-20,1503897,reported,1478932.2142857143,28
02-21,1993-02-21,1181823,reported,2025-02-21,1505957,reported,1493688.7931034483,29
02-22,1993-02-22,1187846,reported,2025-02-22,1508020,reported,1512275,28
02-23,1993-02-23,1196489,reported,2025-02-23,1510084,reported,1513309.75,28
02-24,1993-02-24,1205178,reported,2025-02-24,1511117,reported,1476870.7586206896,29
02-25,1993-02-25,1211287,reported,2025-02-25,1513185,reported,1488842.5185185184,27
02-26,1993-02-26,,missing,2025-02-26,1514634,reported,1504058.5185185184,27
02-27,1993-02-27,,missing,2025-02-27,1517328,reported,1511808.8214285714,28
02-28,1993-02-28,1228865,reported,2025-02-28,1519402,reported,1499957.1379310344,29
02-29,,,no-calendar-date,,,no-calendar-date,1507683,7
03-01,1993-03-01,1234175,reported,2025-03-01,1521479,reported,1503406.896551724,29
03-02,1993-03-02,1239501,reported,2025-03-02,1524598,reported,1519330.5714285714,28
03-03,1993-03-03,1245736,reported,2025-03-03,1527722,reported,1483719.0689655172,29
03-04,1993-03-04,1251098,reported,2025-03-04,1528764,reported,1474244.3703703703,27
03-05,1993-03-05,,missing,2025-03-05,1532939,reported,1496412.357142857,28
03-06,1993-03-06,,missing,2025-03-06,1536076,reported,1532715.888888889,27
03-07,1993-03-07,1273600,reported,2025-03-07,1539218,reported,1508854.0344827587,29
03-08,1993-03-08,1273641,reported,2025-03-08,1541315,reported,1512458.2413793104,29
03-09,1993-03-09,1280002,reported,2025-03-09,1544465,reported,1517164.0714285714,28
03-10,1993-03-10,,missing,2025-03-10,1547620,reported,1498565.4285714286,28
03-11,1993-03-11,,missing,2025-03-11,1549726,reported,1494094.6666666667,27
03-12,1993-03-12,,missing,2025-03-12,1553944,reported,1505302.9285714286,28
03-13,1993-03-13,,missing,2025-03-13,1560300,reported,1524067.2857142857,28
03-14,1993-03-14,1304764,reported,2025-03-14,1566653,reported,1535917.2857142857,28
03-15,1993-03-15,1311243,reported,2025-03-15,1573036,reported,1522486.1379310344,29
03-16,1993-03-16,1316816,reported,2025-03-16,1578372,reported,1523555.7241379311,29
03-17,1993-03-17,,missing,2025-03-17,1593384,reported,1503029.357142857,28
03-18,1993-03-18,1337405,reported,2025-03-18,1604174,reported,1495334.4814814816,27
03-19,1993-03-19,,missing,2025-03-19,1610675,reported,1506579.148148148,27
03-20,1993-03-20,,missing,2025-03-20,1618284,reported,1546949.576923077,26
03-21,1993-03-21,1365000,reported,2025-03-21,1623737,reported,1524402.142857143,28
03-22,1993-03-22,1364917,reported,2025-03-22,1630298,reported,1531764.6785714286,28
03-23,1993-03-23,1372582,reported,2025-03-23,1636880,reported,1535165.4642857143,28
03-24,1993-03-24,1383176,reported,2025-03-24,1644584,reported,1508611.551724138,29
03-25,1993-03-25,,missing,2025-03-25,1650103,reported,1510126.4615384615,26
03-26,1993-03-26,,missing,2025-03-26,1656746,reported,1523756.888888889,27
03-27,1993-03-27,,missing,2025-03-27,1663409,reported,1542518.3703703703,27
03-28,1993-03-28,1442063,reported,2025-03-28,1669000,reported,1557439.2222222222,27
03-29,1993-03-29,1452060,reported,2025-03-29,1675703,reported,1543163.607142857,28
03-30,1993-03-30,,missing,2025-03-30,1681302,reported,1546247.111111111,27
03-31,1993-03-31,,missing,2025-03-31,1688039,reported,1532555.923076923,26
04-01,1993-04-01,,missing,2025-04-01,1695925,reported,1534148.7692307692,26
04-02,1993-04-02,,missing,2025-04-02,1702707,reported,1543854.3703703703,27
04-03,1993-04-03,,missing,2025-04-03,1708374,reported,1535429.5,26
04-04,1993-04-04,1502867,reported,2025-04-04,1714055,reported,1553409.6153846155,26
04-05,1993-04-05,1510084,reported,2025-04-05,1718610,reported,1540166.851851852,27
04-06,1993-04-06,,missing,2025-04-06,1724316,reported,1541471.6538461538,26
04-07,1993-04-07,,missing,2025-04-07,1728892,reported,1525333.25,28
04-08,1993-04-08,,missing,2025-04-08,1733477,reported,1524275.3333333333,27
04-09,1993-04-09,,missing,2025-04-09,1735772,reported,1527155.5185185184,27
04-10,1993-04-10,,missing,2025-04-10,1739220,reported,1544023.7777777778,27
04-11,1993-04-11,1548673,reported,2025-04-11,1742674,reported,1550096.448275862,29
04-12,1993-04-12,1553944,reported,2025-04-12,1746132,reported,1561112.2222222222,27
04-13,1993-04-13,1558172,reported,2025-04-13,1750751,reported,1548181.9642857143,28
04-14,1993-04-14,1562408,reported,2025-04-14,1755379,reported,1533006.0344827587,29
04-15,1993-04-15,,missing,2025-04-15,1758856,reported,1529364.0740740742,27
04-16,1993-04-16,,missing,2025-04-16,1762338,reported,1529591.3703703703,27
04-17,1993-04-17,,missing,2025-04-17,1766990,reported,1551916.357142857,28
04-18,1993-04-18,,missing,2025-04-18,1769319,reported,1552698.142857143,28
04-19,1993-04-19,1576736,reported,2025-04-19,1772816,reported,1544250.0740740742,27
04-20,1993-04-20,1577303,reported,2025-04-20,1775151,reported,1544445.9259259258,27
04-21,1993-04-21,,missing,2025-04-21,1777488,reported,1535373.857142857,28
04-22,1993-04-22,1581579,reported,2025-04-22,1778658,reported,1548604.3333333333,27
04-23,1993-04-23,,missing,2025-04-23,1780998,reported,1538678.5357142857,28
04-24,1993-04-24,,missing,2025-04-24,1782169,reported,1552610.7037037036,27
04-25,1993-04-25,1586937,reported,2025-04-25,1785686,reported,1550762.3214285714,28
04-26,1993-04-26,1588010,reported,2025-04-26,1788034,reported,1559083.56,25
04-27,1993-04-27,1589084,reported,2025-04-27,1790384,reported,1555035.357142857,28
04-28,1993-04-28,,missing,2025-04-28,1793913,reported,1543681.24,25
04-29,1993-04-29,,missing,2025-04-29,1797448,reported,1531569.2307692308,26
04-30,1993-04-30,,missing,2025-04-30,1798628,reported,1526950.6,25
05-01,1993-05-01,,missing,2025-05-01,1800989,reported,1559020.111111111,27
05-02,1993-05-02,,missing,2025-05-02,1803352,reported,1574652.2592592593,27
05-03,1993-05-03,,missing,2025-05-03,1804535,reported,1574031.2692307692,26
05-04,1993-05-04,,missing,2025-05-04,1806902,reported,1569150.1851851852,27
05-05,1993-05-05,,missing,2025-05-05,1808086,reported,1553675.357142857,28
05-06,1993-05-06,1608506,reported,2025-05-06,1810457,reported,1552166.7777777778,27
05-07,1993-05-07,,missing,2025-05-07,1812830,reported,1552576.6538461538,26
05-08,1993-05-08,,missing,2025-05-08,1814017,reported,1576565.7407407407,27
05-09,1993-05-09,,missing,2025-05-09,1817583,reported,1578863.4074074074,27
05-10,1993-05-10,,missing,2025-05-10,1824731,reported,1576934.923076923,26
05-11,1993-05-11,,missing,2025-05-11,1836693,reported,1569245.04,25
05-12,1993-05-12,,missing,2025-05-12,1846307,reported,1552766.0384615385,26
05-13,1993-05-13,,missing,2025-05-13,1851128,reported,1551926.48,25
05-14,1993-05-14,,missing,2025-05-14,1858379,reported,1567561.6923076923,26
05-15,1993-05-15,,missing,2025-05-15,1863225,reported,1589462.5384615385,26
05-16,1993-05-16,,missing,2025-05-16,1864438,reported,1589046.5384615385,26
05-17,1993-05-17,,missing,2025-05-17,1868080,reported,1583178.125,24
05-18,1993-05-18,,missing,2025-05-18,1870512,reported,1596015.6538461538,26
05-19,1993-05-19,,missing,2025-05-19,1872946,reported,1584842.4444444445,27
05-20,1993-05-20,,missing,2025-05-20,1874164,reported,1600588.0869565217,23
05-21,1993-05-21,,missing,2025-05-21,1876601,reported,1585114.9615384615,26
05-22,1993-05-22,,missing,2025-05-22,1879042,reported,1617230.4814814816,27
05-23,1993-05-23,,missing,2025-05-23,1880262,reported,1610854.7692307692,26
05-24,1993-05-24,,missing,2025-05-24,1882706,reported,1634349.64,25
05-25,1993-05-25,,missing,2025-05-25,1885153,reported,1617641.923076923,26
05-26,1993-05-26,1719750,reported,2025-05-26,1888827,reported,1619224.3846153845,26
05-27,1993-05-27,1728892,reported,2025-05-27,1893734,reported,1606222.6923076923,26
05-28,1993-05-28,,missing,2025-05-28,1899882,reported,1601479.76,25
05-29,1993-05-29,,missing,2025-05-29,1906068,reported,1638081.6923076923,26
05-30,1993-05-30,,missing,2025-05-30,1911010,reported,1636507.3846153845,26
05-31,1993-05-31,1773984,reported,2025-05-31,1914723,reported,1635441.423076923,26
