STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
CLE,D,15,STORAGE,19901001 0000,19901001 0000,1155911,,AF
CLE,D,15,STORAGE,19901002 0000,19901002 0000,1148813,,AF
CLE,D,15,STORAGE,19901003 0000,19901003 0000,1142638,,AF
CLE,D,15,STORAGE,19901004 0000,19901004 0000,1137359,,AF
CLE,D,15,STORAGE,19901005 0000,19901005 0000,1132200,,AF
CLE,D,15,STORAGE,19901006 0000,19901006 0000,1127440,,AF
CLE,D,15,STORAGE,19901007 0000,19901007 0000,1122701,,AF
CLE,D,15,STORAGE,19901008 0000,19901008 0000,1117970,,AF
CLE,D,15,STORAGE,19901009 0000,19901009 0000,1113739,,AF
CLE,D,15,STORAGE,19901010 0000,19901010 0000,1109799,,AF
CLE,D,15,STORAGE,19901011 0000,19901011 0000,1105979,,AF
CLE,D,15,STORAGE,19901012 0000,19901012 0000,1102349,,AF
CLE,D,15,STORAGE,19901013 0000,19901013 0000,1099867,,AF
CLE,D,15,STORAGE,19901014 0000,19901014 0000,1096640,,AF
CLE,D,15,STORAGE,19901015 0000,19901015 0000,1090757,,AF
CLE,D,15,STORAGE,19901016 0000,19901016 0000,1085098,,AF
CLE,D,15,STORAGE,19901017 0000,19901017 0000,1078046,,AF
CLE,D,15,STORAGE,19901018 0000,19901018 0000,1071676,,AF
CLE,D,15,STORAGE,19901019 0000,19901019 0000,1065812,,AF
CLE,D,15,STORAGE,19901020 0000,19901020 0000,1060333,,AF
CLE,D,15,STORAGE,19901021 0000,19901021 0000,1055060,,AF
CLE,D,15,STORAGE,19901022 0000,19901022 0000,1049720,,AF
CLE,D,15,STORAGE,19901023 0000,19901023 0000,1044297,,AF
CLE,D,15,STORAGE,19901024 0000,19901024 0000,1041281,,AF
CLE,D,15,STORAGE,19901025 0000,19901025 0000,1037446,,AF
CLE,D,15,STORAGE,19901026 0000,19901026 0000,1031440,,AF
CLE,D,15,STORAGE,19901027 0000,19901027 0000,1025359,,AF
CLE,D,15,STORAGE,19901028 0000,19901028 0000,1019495,,AF
CLE,D,15,STORAGE,19901029 0000,19901029 0000,1013558,,AF
CLE,D,15,STORAGE,19901030 0000,19901030 0000,1007909,,AF
CLE,D,15,STORAGE,19901031 0000,19901031 0000,1002025,,AF
CLE,D,15,STORAGE,19901101 0000,19901101 0000,996157,,AF
CLE,D,15,STORAGE,19901102 0000,19901102 0000,991638,,AF
CLE,D,15,STORAGE,19901103 0000,19901103 0000,987931,,AF
CLE,D,15,STORAGE,19901104 0000,19901104 0000,985729,,AF
CLE,D,15,STORAGE,19901105 0000,19901105 0000,984233,,AF
