STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
FOL,D,15,STORAGE,19901001 0000,19901001 0000,177934,,AF
FOL,D,15,STORAGE,19901002 0000,19901002 0000,177287,,AF
FOL,D,15,STORAGE,19901003 0000,19901003 0000,176856,,AF
FOL,D,15,STORAGE,19901004 0000,19901004 0000,176424,,AF
FOL,D,15,STORAGE,19901005 0000,19901005 0000,177179,,AF
FOL,D,15,STORAGE,19901006 0000,19901006 0000,177179,,AF
FOL,D,15,STORAGE,19901007 0000,19901007 0000,176856,,AF
FOL,D,15,STORAGE,19901008 0000,19901008 0000,176856,,AF
FOL,D,15,STORAGE,19901009 0000,19901009 0000,175561,,AF
FOL,D,15,STORAGE,19901010 0000,19901010 0000,174485,,AF
FOL,D,15,STORAGE,19901011 0000,19901011 0000,174520,,AF
FOL,D,15,STORAGE,19901012 0000,19901012 0000,174061,,AF
FOL,D,15,STORAGE,19901013 0000,19901013 0000,173778,,AF
FOL,D,15,STORAGE,19901014 0000,19901014 0000,174950,,AF
FOL,D,15,STORAGE,19901015 0000,19901015 0000,175885,,AF
FOL,D,15,STORAGE,19901016 0000,19901016 0000,176963,,AF
FOL,D,15,STORAGE,19901017 0000,19901017 0000,178332,,AF
FOL,D,15,STORAGE,19901018 0000,19901018 0000,179832,,AF
FOL,D,15,STORAGE,19901019 0000,19901019 0000,180966,,AF
FOL,D,15,STORAGE,19901020 0000,19901020 0000,181844,,AF
FOL,D,15,STORAGE,19901021 0000,19901021 0000,183109,,AF
FOL,D,15,STORAGE,19901022 0000,19901022 0000,183370,,AF
FOL,D,15,STORAGE,19901023 0000,19901023 0000,183109,,AF
FOL,D,15,STORAGE,19901024 0000,19901024 0000,180674,,AF
FOL,D,15,STORAGE,19901025 0000,19901025 0000,178624,,AF
FOL,D,15,STORAGE,19901026 0000,19901026 0000,176856,,AF
FOL,D,15,STORAGE,19901027 0000,19901027 0000,173636,,AF
FOL,D,15,STORAGE,19901028 0000,19901028 0000,172011,,AF
FOL,D,15,STORAGE,19901029 0000,19901029 0000,170084,,AF
FOL,D,15,STORAGE,19901030 0000,19901030 0000,169251,,AF
FOL,D,15,STORAGE,19901031 0000,19901031 0000,167965,,AF
FOL,D,15,STORAGE,19901101 0000,19901101 0000,167345,,AF
FOL,D,15,STORAGE,19901102 0000,19901102 0000,167038,,AF
FOL,D,15,STORAGE,19901103 0000,19901103 0000,167106,,AF
FOL,D,15,STORAGE,19901104 0000,19901104 0000,165740,,AF
FOL,D,15,STORAGE,19901105 0000,19901105 0000,164989,,AF
FOL,D,15,STORAGE,19901106 0000,19901106 0000,164204,,AF
FOL,D,15,STORAGE,19901107 0000,19901107 0000,163298,,AF
FOL,D,15,STORAGE,19901108 0000,19901108 0000,163432,,AF
FOL,D,15,STORAGE,19901109 0000,19901109 0000,---,,AF
FOL,D,15,STORAGE,19901110 0000,19901110 0000,---,,AF
FOL,D,15,STORAGE,19901111 0000,19901111 0000,---,,AF
FOL,D,15,STORAGE,19901112 0000,19901112 0000,162190,,AF
FOL,D,15,STORAGE,19901113 0000,19901113 0000,162190,,AF
FOL,D,15,STORAGE,19901114 0000,19901114 0000,162425,,AF
FOL,D,15,STORAGE,19901115 0000,19901115 0000,163465,,AF
FOL,D,15,STORAGE,19901116 0000,19901116 0000,164700,,AF
FOL,D,15,STORAGE,19901117 0000,19901117 0000,165500,,AF
FOL,D,15,STORAGE,19901118 0000,19901118 0000,165091,,AF
FOL,D,15,STORAGE,19901119 0000,19901119 0000,165637,,AF
FOL,D,15,STORAGE,19901120 0000,19901120 0000,167037,,AF
FOL,D,15,STORAGE,19901121 0000,19901121 0000,168200,,AF
FOL,D,15,STORAGE,19901122 0000,19901122 0000,169300,,AF
FOL,D,15,STORAGE,19901123 0000,19901123 0000,169400,,AF
FOL,D,15,STORAGE,19901124 0000,19901124 0000,169100,,AF
FOL,D,15,STORAGE,19901125 0000,19901125 0000,169771,,AF
FOL,D,15,STORAGE,19901126 0000,19901126 0000,170292,,AF
FOL,D,15,STORAGE,19901127 0000,19901127 0000,171233,,AF
FOL,D,15,STORAGE,19901128 0000,19901128 0000,172540,,AF
FOL,D,15,STORAGE,19901129 0000,19901129 0000,173000,,AF
FOL,D,15,STORAGE,19901130 0000,19901130 0000,172900,,AF
FOL,D,15,STORAGE,19901201 0000,19901201 0000,173500,,AF
FOL,D,15,STORAGE,19901202 0000,19901202 0000,172894,,AF
FOL,D,15,STORAGE,19901203 0000,19901203 0000,170744,,AF
FOL,D,15,STORAGE,19901204 0000,19901204 0000,168799,,AF
FOL,D,15,STORAGE,19901205 0000,19901205 0000,166559,,AF
FOL,D,15,STORAGE,19901206 0000,19901206 0000,165535,,AF
FOL,D,15,STORAGE,19901207 0000,19901207 0000,164900,,AF
FOL,D,15,STORAGE,19901208 0000,19901208 0000,164100,,AF
FOL,D,15,STORAGE,19901209 0000,19901209 0000,163264,,AF
FOL,D,15,STORAGE,19901210 0000,19901210 0000,162660,,AF
FOL,D,15,STORAGE,19901211 0000,19901211 0000,162559,,AF
FOL,D,15,STORAGE,19901212 0000,19901212 0000,163000,,AF
FOL,D,15,STORAGE,19901213 0000,19901213 0000,162500,,AF
FOL,D,15,STORAGE,19901214 0000,19901214 0000,162200,,AF
FOL,D,15,STORAGE,19901215 0000,19901215 0000,161900,,AF
FOL,D,15,STORAGE,19901216 0000,19901216 0000,161452,,AF
FOL,D,15,STORAGE,19901217 0000,19901217 0000,161284,,AF
FOL,D,15,STORAGE,19901218 0000,19901218 0000,161250,,AF
FOL,D,15,STORAGE,19901219 0000,19901219 0000,161284,,AF
FOL,D,15,STORAGE,19901220 0000,19901220 0000,161000,,AF
FOL,D,15,STORAGE,19901221 0000,19901221 0000,160900,,AF
FOL,D,15,STORAGE,19901222 0000,19901222 0000,160100,,AF
FOL,D,15,STORAGE,19901223 0000,19901223 0000,159800,,AF
FOL,D,15,STORAGE,19901224 0000,19901224 0000,159700,,AF
FOL,D,15,STORAGE,19901225 0000,19901225 0000,159627,,AF
FOL,D,15,STORAGE,19901226 0000,19901226 0000,159099,,AF
FOL,D,15,STORAGE,19901227 0000,19901227 0000,158736,,AF
FOL,D,15,STORAGE,19901228 0000,19901228 0000,159300,,AF
FOL,D,15,STORAGE,19901229 0000,19901229 0000,158400,,AF
FOL,D,15,STORAGE,19901230 0000,19901230 0000,157700,,AF
FOL,D,15,STORAGE,19901231 0000,19901231 0000,157100,,AF
FOL,D,15,STORAGE,19910101 0000,19910101 0000,156500,,AF
FOL,D,15,STORAGE,19910102 0000,19910102 0000,155900,,AF
FOL,D,15,STORAGE,19910103 0000,19910103 0000,156600,,AF
FOL,D,15,STORAGE,19910104 0000,19910104 0000,156900,,AF
FOL,D,15,STORAGE,19910105 0000,19910105 0000,157500,,AF
FOL,D,15,STORAGE,19910106 0000,19910106 0000,157500,,AF
FOL,D,15,STORAGE,19910107 0000,19910107 0000,157900,,AF
FOL,D,15,STORAGE,19910108 0000,19910108 0000,158200,,AF
FOL,D,15,STORAGE,19910109 0000,19910109 0000,158572,,AF
FOL,D,15,STORAGE,19910110 0000,19910110 0000,159165,,AF
FOL,D,15,STORAGE,19910111 0000,19910111 0000,158900,,AF
FOL,D,15,STORAGE,19910112 0000,19910112 0000,158500,,AF
FOL,D,15,STORAGE,19910113 0000,19910113 0000,157300,,AF
FOL,D,15,STORAGE,19910114 0000,19910114 0000,156900,,AF
FOL,D,15,STORAGE,19910115 0000,19910115 0000,156349,,AF
FOL,D,15,STORAGE,19910116 0000,19910116 0000,156414,,AF
FOL,D,15,STORAGE,19910117 0000,19910117 0000,157095,,AF
FOL,D,15,STORAGE,19910118 0000,19910118 0000,156900,,AF
FOL,D,15,STORAGE,19910119 0000,19910119 0000,156200,,AF
FOL,D,15,STORAGE,19910120 0000,19910120 0000,155400,,AF
FOL,D,15,STORAGE,19910121 0000,19910121 0000,---,,AF
FOL,D,15,STORAGE,19910122 0000,19910122 0000,155020,,AF
FOL,D,15,STORAGE,19910123 0000,19910123 0000,155798,,AF
FOL,D,15,STORAGE,19910124 0000,19910124 0000,155993,,AF
FOL,D,15,STORAGE,19910125 0000,19910125 0000,155600,,AF
FOL,D,15,STORAGE,19910126 0000,19910126 0000,154700,,AF
FOL,D,15,STORAGE,19910127 0000,19910127 0000,154372,,AF
FOL,D,15,STORAGE,19910128 0000,19910128 0000,154275,,AF
FOL,D,15,STORAGE,19910129 0000,19910129 0000,154760,,AF
FOL,D,15,STORAGE,19910130 0000,19910130 0000,155085,,AF
FOL,D,15,STORAGE,19910131 0000,19910131 0000,155000,,AF
FOL,D,15,STORAGE,19910201 0000,19910201 0000,155100,,AF
FOL,D,15,STORAGE,19910202 0000,19910202 0000,155300,,AF
FOL,D,15,STORAGE,19910203 0000,19910203 0000,156500,,AF
FOL,D,15,STORAGE,19910204 0000,19910204 0000,157647,,AF
FOL,D,15,STORAGE,19910205 0000,19910205 0000,159759,,AF
FOL,D,15,STORAGE,19910206 0000,19910206 0000,161754,,AF
FOL,D,15,STORAGE,19910207 0000,19910207 0000,161955,,AF
FOL,D,15,STORAGE,19910208 0000,19910208 0000,162500,,AF
FOL,D,15,STORAGE,19910209 0000,19910209 0000,162700,,AF
FOL,D,15,STORAGE,19910210 0000,19910210 0000,163767,,AF
FOL,D,15,STORAGE,19910211 0000,19910211 0000,163700,,AF
FOL,D,15,STORAGE,19910212 0000,19910212 0000,164340,,AF
FOL,D,15,STORAGE,19910213 0000,19910213 0000,164647,,AF
FOL,D,15,STORAGE,19910214 0000,19910214 0000,164852,,AF
FOL,D,15,STORAGE,19910215 0000,19910215 0000,164500,,AF
FOL,D,15,STORAGE,19910216 0000,19910216 0000,164800,,AF
FOL,D,15,STORAGE,19910217 0000,19910217 0000,165000,,AF
FOL,D,15,STORAGE,19910218 0000,19910218 0000,164989,,AF
FOL,D,15,STORAGE,19910219 0000,19910219 0000,164920,,AF
FOL,D,15,STORAGE,19910220 0000,19910220 0000,164920,,AF
FOL,D,15,STORAGE,19910221 0000,19910221 0000,164647,,AF
FOL,D,15,STORAGE,19910222 0000,19910222 0000,164600,,AF
FOL,D,15,STORAGE,19910223 0000,19910223 0000,164800,,AF
FOL,D,15,STORAGE,19910224 0000,19910224 0000,164784,,AF
FOL,D,15,STORAGE,19910225 0000,19910225 0000,165398,,AF
FOL,D,15,STORAGE,19910226 0000,19910226 0000,165501,,AF
FOL,D,15,STORAGE,19910227 0000,19910227 0000,165800,,AF
FOL,D,15,STORAGE,19910228 0000,19910228 0000,167071,,AF
FOL,D,15,STORAGE,19910301 0000,19910301 0000,---,,AF
FOL,D,15,STORAGE,19910302 0000,19910302 0000,170300,,AF
FOL,D,15,STORAGE,19910303 0000,19910303 0000,181955,,AF
FOL,D,15,STORAGE,19910304 0000,19910304 0000,218981,,AF
FOL,D,15,STORAGE,19910305 0000,19910305 0000,250780,,AF
