STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
NML,D,15,STORAGE,19901001 0000,19901001 0000,377830,,AF
NML,D,15,STORAGE,19901002 0000,19901002 0000,378581,,AF
NML,D,15,STORAGE,19901003 0000,19901003 0000,379450,,AF
NML,D,15,STORAGE,19901004 0000,19901004 0000,379569,,AF
NML,D,15,STORAGE,19901005 0000,19901005 0000,380399,,AF
NML,D,15,STORAGE,19901006 0000,19901006 0000,380794,,AF
NML,D,15,STORAGE,19901007 0000,19901007 0000,381152,,AF
NML,D,15,STORAGE,19901008 0000,19901008 0000,381868,,AF
NML,D,15,STORAGE,19901009 0000,19901009 0000,382623,,AF
NML,D,15,STORAGE,19901010 0000,19901010 0000,383379,,AF
NML,D,15,STORAGE,19901011 0000,19901011 0000,383339,,AF
NML,D,15,STORAGE,19901012 0000,19901012 0000,383061,,AF
NML,D,15,STORAGE,19901013 0000,19901013 0000,380675,,AF
NML,D,15,STORAGE,19901014 0000,19901014 0000,379016,,AF
NML,D,15,STORAGE,19901015 0000,19901015 0000,377988,,AF
NML,D,15,STORAGE,19901016 0000,19901016 0000,376961,,AF
NML,D,15,STORAGE,19901017 0000,19901017 0000,376293,,AF
NML,D,15,STORAGE,19901018 0000,19901018 0000,375232,,AF
NML,D,15,STORAGE,19901019 0000,19901019 0000,374446,,AF
NML,D,15,STORAGE,19901020 0000,19901020 0000,372564,,AF
NML,D,15,STORAGE,19901021 0000,19901021 0000,371237,,AF
NML,D,15,STORAGE,19901022 0000,19901022 0000,371705,,AF
NML,D,15,STORAGE,19901023 0000,19901023 0000,372603,,AF
NML,D,15,STORAGE,19901024 0000,19901024 0000,373386,,AF
NML,D,15,STORAGE,19901025 0000,19901025 0000,374093,,AF
NML,D,15,STORAGE,19901026 0000,19901026 0000,374839,,AF
NML,D,15,STORAGE,19901027 0000,19901027 0000,373857,,AF
NML,D,15,STORAGE,19901028 0000,19901028 0000,374093,,AF
NML,D,15,STORAGE,19901029 0000,19901029 0000,374603,,AF
NML,D,15,STORAGE,19901030 0000,19901030 0000,375193,,AF
NML,D,15,STORAGE,19901031 0000,19901031 0000,375664,,AF
NML,D,15,STORAGE,19901101 0000,19901101 0000,374721,,AF
NML,D,15,STORAGE,19901102 0000,19901102 0000,375075,,AF
NML,D,15,STORAGE,19901103 0000,19901103 0000,374250,,AF
NML,D,15,STORAGE,19901104 0000,19901104 0000,372798,,AF
NML,D,15,STORAGE,19901105 0000,19901105 0000,371705,,AF
NML,D,15,STORAGE,19901106 0000,19901106 0000,370417,,AF
NML,D,15,STORAGE,19901107 0000,19901107 0000,369207,,AF
NML,D,15,STORAGE,19901108 0000,19901108 0000,368818,,AF
NML,D,15,STORAGE,19901109 0000,19901109 0000,---,,AF
NML,D,15,STORAGE,19901110 0000,19901110 0000,---,,AF
NML,D,15,STORAGE,19901111 0000,19901111 0000,---,,AF
NML,D,15,STORAGE,19901112 0000,19901112 0000,365327,,AF
NML,D,15,STORAGE,19901113 0000,19901113 0000,363785,,AF
NML,D,15,STORAGE,19901114 0000,19901114 0000,363939,,AF
NML,D,15,STORAGE,19901115 0000,19901115 0000,364170,,AF
NML,D,15,STORAGE,19901116 0000,19901116 0000,362500,,AF
NML,D,15,STORAGE,19901117 0000,19901117 0000,361200,,AF
NML,D,15,STORAGE,19901118 0000,19901118 0000,361318,,AF
NML,D,15,STORAGE,19901119 0000,19901119 0000,361780,,AF
NML,D,15,STORAGE,19901120 0000,19901120 0000,362050,,AF
NML,D,15,STORAGE,19901121 0000,19901121 0000,361400,,AF
NML,D,15,STORAGE,19901122 0000,19901122 0000,362300,,AF
NML,D,15,STORAGE,19901123 0000,19901123 0000,361900,,AF
NML,D,15,STORAGE,19901124 0000,19901124 0000,362800,,AF
NML,D,15,STORAGE,19901125 0000,19901125 0000,363862,,AF
NML,D,15,STORAGE,19901126 0000,19901126 0000,363669,,AF
NML,D,15,STORAGE,19901127 0000,19901127 0000,362700,,AF
NML,D,15,STORAGE,19901128 0000,19901128 0000,363746,,AF
NML,D,15,STORAGE,19901129 0000,19901129 0000,364700,,AF
NML,D,15,STORAGE,19901130 0000,19901130 0000,365100,,AF
NML,D,15,STORAGE,19901201 0000,19901201 0000,364700,,AF
NML,D,15,STORAGE,19901202 0000,19901202 0000,364941,,AF
NML,D,15,STORAGE,19901203 0000,19901203 0000,363669,,AF
NML,D,15,STORAGE,19901204 0000,19901204 0000,364208,,AF
NML,D,15,STORAGE,19901205 0000,19901205 0000,365288,,AF
NML,D,15,STORAGE,19901206 0000,19901206 0000,366685,,AF
NML,D,15,STORAGE,19901207 0000,19901207 0000,366800,,AF
NML,D,15,STORAGE,19901208 0000,19901208 0000,368000,,AF
NML,D,15,STORAGE,19901209 0000,19901209 0000,369090,,AF
NML,D,15,STORAGE,19901210 0000,19901210 0000,370339,,AF
NML,D,15,STORAGE,19901211 0000,19901211 0000,371627,,AF
NML,D,15,STORAGE,19901212 0000,19901212 0000,373000,,AF
NML,D,15,STORAGE,19901213 0000,19901213 0000,373200,,AF
NML,D,15,STORAGE,19901214 0000,19901214 0000,373500,,AF
NML,D,15,STORAGE,19901215 0000,19901215 0000,374800,,AF
NML,D,15,STORAGE,19901216 0000,19901216 0000,375900,,AF
NML,D,15,STORAGE,19901217 0000,19901217 0000,377197,,AF
NML,D,15,STORAGE,19901218 0000,19901218 0000,378541,,AF
NML,D,15,STORAGE,19901219 0000,19901219 0000,379766,,AF
NML,D,15,STORAGE,19901220 0000,19901220 0000,381300,,AF
NML,D,15,STORAGE,19901221 0000,19901221 0000,381700,,AF
NML,D,15,STORAGE,19901222 0000,19901222 0000,382800,,AF
NML,D,15,STORAGE,19901223 0000,19901223 0000,383900,,AF
NML,D,15,STORAGE,19901224 0000,19901224 0000,384300,,AF
NML,D,15,STORAGE,19901225 0000,19901225 0000,384931,,AF
NML,D,15,STORAGE,19901226 0000,19901226 0000,385811,,AF
NML,D,15,STORAGE,19901227 0000,19901227 0000,386571,,AF
NML,D,15,STORAGE,19901228 0000,19901228 0000,386100,,AF
NML,D,15,STORAGE,19901229 0000,19901229 0000,385300,,AF
NML,D,15,STORAGE,19901230 0000,19901230 0000,385500,,AF
NML,D,15,STORAGE,19901231 0000,19901231 0000,385900,,AF
NML,D,15,STORAGE,19910101 0000,19910101 0000,386200,,AF
NML,D,15,STORAGE,19910102 0000,19910102 0000,386771,,AF
NML,D,15,STORAGE,19910103 0000,19910103 0000,387092,,AF
NML,D,15,STORAGE,19910104 0000,19910104 0000,386200,,AF
NML,D,15,STORAGE,19910105 0000,19910105 0000,386400,,AF
