STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
ORO,D,15,STORAGE,19901001 0000,19901001 0000,1162392,,AF
ORO,D,15,STORAGE,19901002 0000,19901002 0000,1161234,,AF
ORO,D,15,STORAGE,19901003 0000,19901003 0000,1159428,,AF
ORO,D,15,STORAGE,19901004 0000,19901004 0000,1161017,,AF
ORO,D,15,STORAGE,19901005 0000,19901005 0000,1160296,,AF
ORO,D,15,STORAGE,19901006 0000,19901006 0000,1158419,,AF
ORO,D,15,STORAGE,19901007 0000,19901007 0000,1159428,,AF
ORO,D,15,STORAGE,19901008 0000,19901008 0000,1161885,,AF
ORO,D,15,STORAGE,19901009 0000,19901009 0000,1159500,,AF
ORO,D,15,STORAGE,19901010 0000,19901010 0000,1162608,,AF
ORO,D,15,STORAGE,19901011 0000,19901011 0000,1163187,,AF
ORO,D,15,STORAGE,19901012 0000,19901012 0000,1165287,,AF
ORO,D,15,STORAGE,19901013 0000,19901013 0000,1169277,,AF
ORO,D,15,STORAGE,19901014 0000,19901014 0000,1171384,,AF
ORO,D,15,STORAGE,19901015 0000,19901015 0000,1171966,,AF
ORO,D,15,STORAGE,19901016 0000,19901016 0000,1172986,,AF
ORO,D,15,STORAGE,19901017 0000,19901017 0000,1173930,,AF
ORO,D,15,STORAGE,19901018 0000,19901018 0000,1174222,,AF
ORO,D,15,STORAGE,19901019 0000,19901019 0000,1172766,,AF
ORO,D,15,STORAGE,19901020 0000,19901020 0000,1177868,,AF
ORO,D,15,STORAGE,19901021 0000,19901021 0000,1181596,,AF
ORO,D,15,STORAGE,19901022 0000,19901022 0000,1182913,,AF
ORO,D,15,STORAGE,19901023 0000,19901023 0000,1182694,,AF
ORO,D,15,STORAGE,19901024 0000,19901024 0000,1182548,,AF
ORO,D,15,STORAGE,19901025 0000,19901025 0000,1181742,,AF
ORO,D,15,STORAGE,19901026 0000,19901026 0000,1181523,,AF
ORO,D,15,STORAGE,19901027 0000,19901027 0000,1177430,,AF
ORO,D,15,STORAGE,19901028 0000,19901028 0000,1173494,,AF
ORO,D,15,STORAGE,19901029 0000,19901029 0000,1173276,,AF
ORO,D,15,STORAGE,19901030 0000,19901030 0000,1172620,,AF
ORO,D,15,STORAGE,19901031 0000,19901031 0000,1173203,,AF
ORO,D,15,STORAGE,19901101 0000,19901101 0000,1169640,,AF
ORO,D,15,STORAGE,19901102 0000,19901102 0000,1167317,,AF
ORO,D,15,STORAGE,19901103 0000,19901103 0000,1164418,,AF
ORO,D,15,STORAGE,19901104 0000,19901104 0000,1161740,,AF
ORO,D,15,STORAGE,19901105 0000,19901105 0000,1161089,,AF
ORO,D,15,STORAGE,19901106 0000,19901106 0000,1161018,,AF
