STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
SHA,D,15,STORAGE,19901001 0000,19901001 0000,1638121,,AF
SHA,D,15,STORAGE,19901002 0000,19901002 0000,1642498,,AF
SHA,D,15,STORAGE,19901003 0000,19901003 0000,1644468,,AF
SHA,D,15,STORAGE,19901004 0000,19901004 0000,1646891,,AF
SHA,D,15,STORAGE,19901005 0000,19901005 0000,1647498,,AF
SHA,D,15,STORAGE,19901006 0000,19901006 0000,1646286,,AF
SHA,D,15,STORAGE,19901007 0000,19901007 0000,1644165,,AF
SHA,D,15,STORAGE,19901008 0000,19901008 0000,1643407,,AF
SHA,D,15,STORAGE,19901009 0000,19901009 0000,1645225,,AF
SHA,D,15,STORAGE,19901010 0000,19901010 0000,1644771,,AF
SHA,D,15,STORAGE,19901011 0000,19901011 0000,1644771,,AF
SHA,D,15,STORAGE,19901012 0000,19901012 0000,1644620,,AF
SHA,D,15,STORAGE,19901013 0000,19901013 0000,1641590,,AF
SHA,D,15,STORAGE,19901014 0000,19901014 0000,1637820,,AF
SHA,D,15,STORAGE,19901015 0000,19901015 0000,1639024,,AF
SHA,D,15,STORAGE,19901016 0000,19901016 0000,1642952,,AF
SHA,D,15,STORAGE,19901017 0000,19901017 0000,1646134,,AF
SHA,D,15,STORAGE,19901018 0000,19901018 0000,1650527,,AF
SHA,D,15,STORAGE,19901019 0000,19901019 0000,1652496,,AF
SHA,D,15,STORAGE,19901020 0000,19901020 0000,1654164,,AF
SHA,D,15,STORAGE,19901021 0000,19901021 0000,1653557,,AF
SHA,D,15,STORAGE,19901022 0000,19901022 0000,1654769,,AF
SHA,D,15,STORAGE,19901023 0000,19901023 0000,1657660,,AF
SHA,D,15,STORAGE,19901024 0000,19901024 0000,1659795,,AF
SHA,D,15,STORAGE,19901025 0000,19901025 0000,1663302,,AF
SHA,D,15,STORAGE,19901026 0000,19901026 0000,1666808,,AF
SHA,D,15,STORAGE,19901027 0000,19901027 0000,1668333,,AF
SHA,D,15,STORAGE,19901028 0000,19901028 0000,1669095,,AF
SHA,D,15,STORAGE,19901029 0000,19901029 0000,1671999,,AF
SHA,D,15,STORAGE,19901030 0000,19901030 0000,1674454,,AF
SHA,D,15,STORAGE,19901031 0000,19901031 0000,1679211,,AF
SHA,D,15,STORAGE,19901101 0000,19901101 0000,1680592,,AF
SHA,D,15,STORAGE,19901102 0000,19901102 0000,1681052,,AF
SHA,D,15,STORAGE,19901103 0000,19901103 0000,1681667,,AF
SHA,D,15,STORAGE,19901104 0000,19901104 0000,1679672,,AF
SHA,D,15,STORAGE,19901105 0000,19901105 0000,1679211,,AF
SHA,D,15,STORAGE,19901106 0000,19901106 0000,1679979,,AF
SHA,D,15,STORAGE,19901107 0000,19901107 0000,1680592,,AF
SHA,D,15,STORAGE,19901108 0000,19901108 0000,1682280,,AF
SHA,D,15,STORAGE,19901109 0000,19901109 0000,---,,AF
SHA,D,15,STORAGE,19901110 0000,19901110 0000,---,,AF
SHA,D,15,STORAGE,19901111 0000,19901111 0000,---,,AF
SHA,D,15,STORAGE,19901112 0000,19901112 0000,1687813,,AF
SHA,D,15,STORAGE,19901113 0000,19901113 0000,1687505,,AF
SHA,D,15,STORAGE,19901114 0000,19901114 0000,1688432,,AF
SHA,D,15,STORAGE,19901115 0000,19901115 0000,1687505,,AF
SHA,D,15,STORAGE,19901116 0000,19901116 0000,---,,AF
SHA,D,15,STORAGE,19901117 0000,19901117 0000,1686900,,AF
SHA,D,15,STORAGE,19901118 0000,19901118 0000,1687813,,AF
SHA,D,15,STORAGE,19901119 0000,19901119 0000,1688895,,AF
SHA,D,15,STORAGE,19901120 0000,19901120 0000,1689204,,AF
SHA,D,15,STORAGE,19901121 0000,19901121 0000,1687400,,AF
SHA,D,15,STORAGE,19901122 0000,19901122 0000,1688700,,AF
SHA,D,15,STORAGE,19901123 0000,19901123 0000,1686100,,AF
SHA,D,15,STORAGE,19901124 0000,19901124 0000,1684100,,AF
SHA,D,15,STORAGE,19901125 0000,19901125 0000,1687196,,AF
